q_inv_angstrom,debye_radial_myosinII_10s,debye_kdt_myosinII_10s,prop_radial_myosinII_10s,prop_kdt_myosinII_10s
0,1,1,1,1
0.02,0.6477120369532661,0.9194896722110003,0.6477857223491139,0.919499079155094
0.04,0.18978153553466692,0.7082564644440745,0.1899111646303604,0.708287408403238
0.06,0.05149004796591993,0.4421027057058085,0.05157928291764972,0.4421517745883886
0.08,0.025341539955236452,0.20575292557978558,0.025393630307697167,0.2058027991522756
0.1,0.011458873301207597,0.05538093806343448,0.011477934628337216,0.055411260671318095
0.12,0.0071011921291594254,0,0.007110559170625255,0
0.14,0.004379047448350153,0.009006668081308457,0.004388415135509904,0.008981002939313854
0.16,0.0027322739630539854,0.03758831483282425,0.0027383524909153642,0.037552779544239356
0.18,0.0018641248144547027,0.052882250731246645,0.0018721128824851826,0.05285288483683299
0.2,0.0015416265109239084,0.046384545061030145,0.0015526792665638335,0.0463676529971227
0.22,0.0011352561516475743,0.029014873738135567,0.0011466350908681273,0.02900451250060614
0.24,7.344015120152043e-4,0.0163733488265987,7.430878898025421e-4,0.016356920887261178
0.26,4.0701557285787446e-4,0.015973023278201846,4.114716085034556e-4,0.015940519527915364
0.28,2.842765361429092e-4,0.024087284867389192,2.8430640655741204e-4,0.024037434071432925
0.3,2.7360481770132613e-4,0.03161633304509442,2.713812125793704e-4,0.03155629569391296
0.32,2.3851205069117649e-4,0.032380650615453914,2.3638254407810105e-4,0.032320347307639885
0.34,1.69554135432215e-4,0.027150720196169688,1.6900662020039373e-4,0.0270964398632102
0.36,1.4298047164027934e-4,0.021398159010934885,1.4358698087984617e-4,0.02134979175722885
0.38,1.320575195917248e-4,0.019887807154946324,1.3300834137348452e-4,0.01984090861444093
0.4,1.3543204372172782e-4,0.02297323327115463,1.3509097683989983e-4,0.022923439992699815
0.42,1.1414570538560058e-4,0.02716201219009938,1.1284110049450042e-4,0.027108235619656897
0.44,8.160524342809284e-5,0.028681262052561624,8.066486114797908e-5,0.02862578554996304
0.46,3.14042008714323e-5,0.02663202997594318,3.123816454024367e-5,0.026578040202311318
0.48,6.623431456520158e-7,0.023249474000703027,7.65775352063413e-7,0.023198484982658155
0.5,0,0.02153917122781303,0,0.021490215014326467
