q_inv_angstrom,debye_radial_phgdh,debye_kdt_phgdh,prop_radial_phgdh,prop_kdt_phgdh
0,175.455128,131.625044,21393.451698,16042.091308
0.02,155.715814,123.09986,18984.719546,15002.79068
0.04,110.323038,100.376515,13446.576808,12232.689618
0.06,65.571009,70.681555,7988.859797,8612.963827
0.08,36.016787,42.360269,4387.082741,5161.095314
0.1,20.232491,21.450071,2464.918692,2612.988601
0.12,12.023409,9.803664,1465.335741,1194.165757
0.14,7.590894,5.471098,925.132924,666.500213
0.16,5.095966,4.739888,620.573981,577.146988
0.18,3.402934,4.435848,413.327825,539.179156
0.2,2.049687,3.217406,247.125921,389.356316
0.22,1.080507,1.440708,127.737564,171.511978
0.24,0.586863,0.10014,66.691522,7.188194
0.26,0.44614,-0.229677,49.095591,-33.468111
0.28,0.427474,0.223706,46.675352,21.692039
0.3,0.403836,0.773264,43.802941,88.716094
0.32,0.352069,0.884105,37.508908,102.242406
0.34,0.277245,0.527556,28.3441,58.730105
0.36,0.214571,0.070104,20.648687,2.896755
0.38,0.191423,-0.113694,17.809474,-19.541322
0.4,0.18979,0.053705,17.627835,0.883466
0.42,0.189667,0.349877,17.636642,37.023898
0.44,0.186964,0.491971,17.301922,54.356007
0.46,0.176092,0.379622,15.939455,40.62926
0.48,0.160713,0.144145,14.02945,11.873287
0.5,0.149848,-0.001647,12.689857,-5.932861
