q_inv_angstrom,intensity
0.000000,20520.719172
0.020000,20444.858913
0.040000,20218.530368
0.060000,19845.463026
0.080000,19331.782686
0.100000,18685.878811
0.120000,17918.223483
0.140000,17041.146495
0.160000,16068.572173
0.180000,15015.724430
0.200000,13898.807341
0.220000,12734.669046
0.240000,11540.457125
0.260000,10333.273754
0.280000,9129.838793
0.300000,7946.168697
0.320000,6797.278589
0.340000,5696.914155
0.360000,4657.319128
0.380000,3689.043132
0.400000,2800.793530
0.420000,1999.333725
0.440000,1289.429101
0.460000,673.840575
0.480000,153.364476
0.500000,-273.083699
